	attribute	f2f	m2m	f2m	m2f
1100	0.842	0.667	0.267	0.067	0.0
1200	0.43	0.565	0.174	0.0	0.261
1300	0.195	0.611	0.083	0.25	0.056
1500	0.636	0.875	0.062	0.062	0.0
2100	0.0	0.9	0.0	0.0	0.1
2200	-0.087	0.4	0.1	0.2	0.3
2400	0.0	0.667	0.0	0.333	0.0
2800	0.333	0.5	0.167	0.333	0.0
3100	0.562	0.385	0.385	0.0	0.231
3200	0.294	0.75	0.062	0.125	0.062
3400	0.191	0.263	0.316	0.105	0.316
4100	0.0	0.0	0.75	0.0	0.25
4200	0.157	0.25	0.286	0.071	0.393
4300	0.382	0.524	0.19	0.048	0.238
4400	-0.075	0.842	0.0	0.105	0.053
5400	0.615	0.8	0.1	0.0	0.1
6100	-0.109	0.647	0.0	0.059	0.294
6200	0.224	0.737	0.053	0.158	0.053
6400	0.334	0.655	0.103	0.207	0.034
7300	1.0	0.5	0.5	0.0	0.0
