,attribute,f2f,m2m,f2m,m2f,density
1100,0.421,0.727,0.091,0.182,0.0,0.012
1200,0.286,0.65,0.1,0.15,0.1,0.018
1300,0.281,0.724,0.069,0.138,0.069,0.024
1500,-0.0,0.8,0.0,0.0,0.2,0.014
2100,-0.118,0.789,0.0,0.105,0.105,0.038
2200,0.071,0.267,0.267,0.2,0.267,0.023
2400,1.0,0.833,0.167,0.0,0.0,0.009
2800,0.316,0.692,0.077,0.0,0.231,0.016
3100,0.0,0.714,0.0,0.286,0.0,0.009
3200,0.324,0.72,0.08,0.08,0.12,0.022
3400,0.412,0.533,0.2,0.067,0.2,0.013
4100,1.0,0.5,0.5,0.0,0.0,0.007
4200,0.366,0.462,0.231,0.077,0.231,0.033
4300,0.299,0.484,0.194,0.129,0.194,0.029
4400,-0.091,0.5,0.056,0.278,0.167,0.014
5400,0.4,0.4,0.3,0.1,0.2,0.009
6100,0.286,0.65,0.1,0.15,0.1,0.019
6200,0.233,0.652,0.087,0.13,0.13,0.02
6400,-0.231,0.5,0.0,0.125,0.375,0.025
7300,0.53,0.462,0.308,0.154,0.077,0.02
