	n	n_female	n_male	m	num_strongly_connected_components	size_largest_strongly_connected_components	num_weakly_connected_components	size_weakly_strongly_connected_components	node_connectivity	edge_connectivity	avg_clustering	transitivity	avg_distance	diameter	radius	density	degree_assortativity	attribute_assortativity	assortativity_f2f	assortativity_f2m	assortativity_m2m	assortativity_m2f
Random	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1100 w1	31.0	20.0	11.0	76.0	15.0	13.0	6.0	23.0	0.0	0.0	NaN	0.357	NaN	NaN	NaN	0.082	0.215	0.803	0.816	0.053	0.132	0.0
1100 w2	31.0	20.0	11.0	66.0	19.0	7.0	7.0	25.0	0.0	0.0	NaN	0.323	NaN	NaN	NaN	0.071	0.032	0.699	0.773	0.091	0.136	0.0
1200 w1	34.0	23.0	11.0	97.0	17.0	17.0	2.0	33.0	0.0	0.0	NaN	0.206	NaN	NaN	NaN	0.086	-0.006	0.389	0.588	0.041	0.155	0.216
1200 w2	34.0	23.0	11.0	96.0	14.0	17.0	2.0	33.0	0.0	0.0	NaN	0.214	NaN	NaN	NaN	0.086	-0.017	0.499	0.729	0.062	0.115	0.094
1300 w1	35.0	28.0	7.0	209.0	5.0	31.0	1.0	35.0	0.0	0.0	NaN	0.251	2.076	2.0	1.0	0.176	-0.179	0.291	0.78	0.1	0.053	0.067
1300 w2	35.0	28.0	7.0	165.0	3.0	33.0	2.0	34.0	0.0	0.0	NaN	0.241	NaN	NaN	NaN	0.139	0.032	0.408	0.794	0.067	0.067	0.073
1500 w1	27.0	21.0	6.0	83.0	9.0	16.0	3.0	25.0	0.0	0.0	NaN	0.322	NaN	NaN	NaN	0.118	0.093	0.781	0.892	0.036	0.072	0.0
1500 w2	27.0	21.0	6.0	82.0	10.0	16.0	2.0	26.0	0.0	0.0	NaN	0.377	NaN	NaN	NaN	0.117	0.141	0.69	0.89	0.0	0.061	0.049
2100 w1	23.0	20.0	3.0	38.0	17.0	4.0	5.0	19.0	0.0	0.0	NaN	0.25	NaN	NaN	NaN	0.075	0.036	-0.0	0.974	0.0	0.0	0.026
2100 w2	23.0	20.0	3.0	65.0	7.0	16.0	1.0	23.0	0.0	0.0	NaN	0.209	1.711	4.0	2.0	0.128	-0.225	-0.061	0.877	0.077	0.0	0.046
2200 w1	26.0	19.0	7.0	39.0	18.0	6.0	3.0	23.0	0.0	0.0	NaN	0.2	NaN	NaN	NaN	0.06	0.121	0.196	0.59	0.128	0.103	0.179
2200 w2	26.0	19.0	7.0	57.0	11.0	11.0	6.0	12.0	0.0	0.0	NaN	0.481	NaN	NaN	NaN	0.088	0.446	0.237	0.561	0.088	0.123	0.228
2400 w1	27.0	16.0	11.0	38.0	18.0	4.0	7.0	8.0	0.0	0.0	NaN	0.47	NaN	NaN	NaN	0.054	0.417	0.887	0.605	0.026	0.342	0.026
2400 w2	27.0	16.0	11.0	22.0	24.0	4.0	12.0	7.0	0.0	0.0	NaN	0.389	NaN	NaN	NaN	0.031	0.275	0.34	0.591	0.045	0.136	0.227
2800 w1	29.0	18.0	11.0	38.0	21.0	9.0	8.0	22.0	0.0	0.0	NaN	0.104	NaN	NaN	NaN	0.047	-0.296	0.57	0.684	0.132	0.158	0.026
2800 w2	29.0	18.0	11.0	36.0	21.0	4.0	7.0	21.0	0.0	0.0	NaN	0.172	NaN	NaN	NaN	0.044	-0.004	0.493	0.583	0.028	0.194	0.194
3100 w1	29.0	14.0	15.0	58.0	19.0	7.0	5.0	24.0	0.0	0.0	NaN	0.312	NaN	NaN	NaN	0.071	-0.001	0.527	0.517	0.052	0.259	0.172
3100 w2	29.0	14.0	15.0	46.0	18.0	11.0	6.0	24.0	0.0	0.0	NaN	0.153	NaN	NaN	NaN	0.057	-0.073	0.426	0.587	0.087	0.174	0.152
3200 w1	34.0	26.0	8.0	91.0	11.0	17.0	2.0	33.0	0.0	0.0	NaN	0.209	NaN	NaN	NaN	0.081	0.073	0.507	0.857	0.044	0.055	0.044
3200 w2	34.0	26.0	8.0	107.0	10.0	25.0	3.0	32.0	0.0	0.0	NaN	0.201	NaN	NaN	NaN	0.095	-0.024	0.096	0.766	0.103	0.028	0.103
3400 w1	35.0	14.0	21.0	108.0	10.0	23.0	2.0	34.0	0.0	0.0	NaN	0.219	NaN	NaN	NaN	0.091	0.085	0.401	0.269	0.046	0.426	0.259
3400 w2	35.0	14.0	21.0	68.0	26.0	7.0	6.0	30.0	0.0	0.0	NaN	0.22	NaN	NaN	NaN	0.057	-0.114	0.463	0.309	0.132	0.426	0.132
4100 w1	17.0	9.0	8.0	43.0	5.0	13.0	1.0	17.0	0.0	0.0	NaN	0.311	1.695	4.0	2.0	0.158	-0.319	0.472	0.558	0.093	0.209	0.14
4100 w2	17.0	9.0	8.0	32.0	9.0	5.0	3.0	15.0	0.0	0.0	NaN	0.379	NaN	NaN	NaN	0.118	0.028	0.925	0.688	0.0	0.281	0.031
4200 w1	35.0	19.0	16.0	185.0	7.0	27.0	1.0	35.0	0.0	0.0	NaN	0.202	1.964	4.0	2.0	0.155	-0.2	0.256	0.308	0.086	0.303	0.303
4200 w2	35.0	19.0	16.0	177.0	4.0	32.0	1.0	35.0	0.0	0.0	NaN	0.291	2.325	4.0	2.0	0.149	-0.058	0.31	0.401	0.102	0.254	0.243
4300 w1	33.0	20.0	13.0	93.0	15.0	19.0	3.0	31.0	0.0	0.0	NaN	0.186	NaN	NaN	NaN	0.088	0.053	0.373	0.656	0.065	0.118	0.161
4300 w2	33.0	20.0	13.0	85.0	11.0	19.0	1.0	33.0	0.0	0.0	NaN	0.23	2.237	6.0	4.0	0.08	-0.012	0.352	0.471	0.118	0.224	0.188
4400 w1	37.0	29.0	8.0	92.0	20.0	9.0	7.0	31.0	0.0	0.0	NaN	0.23	NaN	NaN	NaN	0.069	0.052	0.419	0.924	0.043	0.022	0.011
